destino,producto,precio,presentacion,pMin,calidad,origen,obs,pMax
"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",Aguacate Pagua,240.00,Caja de 13 kg.,200.00,Primera,Distrito Federal,,240.00
"Quintana Roo: Mercado de Chetumal, Quintana Roo",Aguacate Pagua,295.00,Caja de 18 kg.,295.00,Primera,Distrito Federal,,295.00
"Durango: Central de Abasto ""Francisco Villa""",Aguacate Criollo,12.00,Kilogramo,12.00,Primera,Durango,,14.00
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Aguacate Criollo,140.00,Caja de 9 kg.,130.00,Primera,Nuevo León,,150.00
Veracruz: Mercado Malibrán,Aguacate Criollo,180.00,Caja de 18 kg.,165.00,Primera,Veracruz,,180.00
"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",Ajo Blanco # 8,40.00,Kilogramo,40.00,Primera,Distrito Federal,,60.00
Jalisco: Mercado de Abasto de Guadalajara,Ajo Blanco # 8,520.00,Caja de 10 kg.,520.00,Primera,Zacatecas,,530.00
Jalisco: Mercado Felipe Ángeles de Guadalajara,Ajo Blanco # 8,540.00,Caja de 10 kg.,540.00,Primera,Zacatecas,,540.00
"Quintana Roo: Mercado de Chetumal, Quintana Roo",Ajo Blanco # 8,50.00,Kilogramo,50.00,Primera,Distrito Federal,,50.00
Tabasco: Central de Abasto de Villahermosa,Ajo Blanco # 8,63.00,Kilogramo,63.00,Primera,Puebla,,63.00
"Baja California : Central de Abasto INDIA, Tijuana",Ajo Blanco,40.00,Kilogramo,40.00,Primera,Baja California,,40.00
Baja California Sur: Unión de Comerciantes de La Paz,Ajo Blanco,75.00,Kilogramo,75.00,Primera,Baja California,,75.00
Chiapas: Central de Abasto de Tuxtla Gutiérrez,Ajo Blanco,40.00,Kilogramo,40.00,Primera,Puebla,,50.00
"Durango: Central de Abasto ""Francisco Villa""",Ajo Blanco,75.00,Kilogramo,75.00,Primera,Guanajuato,,80.00
"Durango: Central de Abasto ""Francisco Villa""",Ajo Blanco,80.00,Kilogramo,80.00,Primera,Importación,Argentina.,90.00
Sinaloa: Central de Abasto de Culiacán,Ajo Blanco,70.00,Kilogramo,70.00,Primera,Jalisco,,70.00
Veracruz: Central de Abasto de Minatitlán,Ajo Blanco,75.00,Kilogramo,70.00,Primera,Puebla,,75.00
Veracruz: Mercado Malibrán,Ajo Blanco,75.00,Kilogramo,70.00,Primera,Puebla,,75.00
Aguascalientes: Centro Comercial Agropecuario de Aguascalientes,Aguacate Hass,14.00,Kilogramo,13.50,Primera,Michoacán,,14.50
"Baja California : Central de Abasto INDIA, Tijuana",Aguacate Hass,140.00,Caja de 10 kg.,140.00,Primera,Michoacán,,140.00
Baja California Sur: Unión de Comerciantes de La Paz,Aguacate Hass,235.00,Caja de 10 kg.,235.00,Primera,Jalisco,,240.00
"Campeche: Mercado ""Pedro Sáinz de Baranda"", Campeche",Aguacate Hass,300.00,Caja de 13 kg.,280.00,Primera,Distrito Federal,,300.00
"Coahuila: Central de Abasto de La Laguna, Torreón",Aguacate Hass,162.00,Caja de 10 kg.,160.00,Primera,Michoacán,,165.00
Chiapas: Central de Abasto de Tuxtla Gutiérrez,Aguacate Hass,25.00,Kilogramo,25.00,Primera,Puebla,,30.00
Chihuahua: Mercado de Abasto de Cd. Juárez,Aguacate Hass,350.00,Caja de 19 kg.,350.00,Primera,Michoacán,,350.00
DF: Central de Abasto de Iztapalapa DF,Aguacate Hass,160.00,Caja de 10 kg.,150.00,Primera,Michoacán,,210.00
"Durango: Central de Abasto ""Francisco Villa""",Aguacate Hass,17.00,Kilogramo,16.00,Primera,Michoacán,,19.00
Durango: Centro de Distribución y Abasto de Gómez Palacio,Aguacate Hass,162.00,Caja de 10 kg.,160.00,Primera,Michoacán,,165.00
Guanajuato: Central de Abasto de León,Aguacate Hass,30.00,Kilogramo,30.00,Primera,Michoacán,,33.00
"Guanajuato: Mercado de Abasto de Celaya (""Benito Juárez"")",Aguacate Hass,22.00,Kilogramo,20.00,Primera,Michoacán,,23.00
Guanajuato: Módulo de Abasto Irapuato,Aguacate Hass,12.00,Kilogramo,12.00,Primera,Michoacán,,13.00
Guerrero: Central de Abastos de Acapulco,Aguacate Hass,20.00,Kilogramo,20.00,Primera,Michoacán,,20.00
Hidalgo: Central de Abasto de Pachuca,Aguacate Hass,480.00,Caja de 24 kg.,480.00,Primera,Michoacán,,500.00
Jalisco: Mercado de Abasto de Guadalajara,Aguacate Hass,180.00,Caja de 9 kg.,180.00,Primera,Michoacán,,185.00
Jalisco: Mercado Felipe Ángeles de Guadalajara,Aguacate Hass,195.00,Caja de 9 kg.,195.00,Primera,Michoacán,,195.00
México: Central de Abasto de Ecatepec,Aguacate Hass,410.00,Caja de 20 kg.,400.00,Primera,Michoacán,,420.00
México: Central de Abasto de Toluca,Aguacate Hass,420.00,Caja de 20 kg.,420.00,Primera,Michoacán,,440.00
Michoacán: Mercado de Abasto de Morelia,Aguacate Hass,340.00,Caja de 19 kg.,330.00,Primera,Michoacán,,340.00
Morelos: Central de Abasto de Cuautla,Aguacate Hass,320.00,Caja de 16 kg.,300.00,Primera,Michoacán,,330.00
Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,Aguacate Hass,25.00,Kilogramo,23.00,Primera,Michoacán,,25.00
Nayarit: Mercado de abasto 'Adolfo López Mateos' de Tepic,Aguacate Hass,200.00,Caja de 10 kg.,200.00,Primera,Michoacán,,210.00
"Nuevo León: Mercado de Abasto ""Estrella"" de San Nicolás de los Garza",Aguacate Hass,160.00,Caja de 9 kg.,140.00,Primera,Michoacán,,160.00
Puebla: Central de Abasto de Puebla,Aguacate Hass,120.00,Caja de 10 kg.,115.00,Primera,Michoacán,,120.00
Querétaro: Mercado de Abasto de Querétaro,Aguacate Hass,19.00,Kilogramo,18.00,Primera,Michoacán,,21.00
